year_list,countries,overall,attack,mid,defence
2011,Spain,85,83,83,82
2011,England,83,81,82,80
2011,Argentina,83,82,79,78
2011,Brazil,83,81,80,82
2011,Italy,82,81,79,79
2011,Germany,82,80,80,79
2011,France,82,80,81,81
2011,Netherlands,81,80,80,76
2011,Portugal,81,79,78,79
2011,Russia,79,78,76,74
2011,Croatia,78,77,75,74
2011,Uruguay,78,79,74,74
2011,Turkey,78,76,76,75
2011,Mexico,77,75,72,74
2011,Czech Republic,77,72,71,73
2011,Belgium,77,74,74,76
2011,Cameroon,77,72,73,71
2011,Republic of Ireland,76,74,72,71
2011,Switzerland,76,74,73,74
2011,Sweden,76,76,73,74
2011,United States,75,71,73,71
2011,Greece,75,72,72,73
2011,Scotland,75,74,73,72
2011,Norway,75,75,74,74
2011,Denmark,75,73,74,73
2011,Poland,74,72,71,70
2011,Australia,73,70,70,68
2011,Austria,73,72,69,73
2011,South Africa,72,69,69,66
2011,Bulgaria,72,70,71,67
2011,Hungary,72,72,70,68
2011,Romania,72,69,70,71
2011,Ecuador,72,71,66,64
2011,Slovenia,71,69,71,69
2011,Finland,71,67,71,69
2011,Northern Ireland,71,66,68,69
2011,Korea Republic,70,70,68,66
2011,China PR,65,61,60,61
2011,New Zealand,64,64,58,61
2010,Spain,85,83,83,82
2010,Brazil,84,83,81,82
2010,France,83,82,82,82
2010,England,83,81,84,82
2010,Italy,83,83,81,80
2010,Argentina,83,83,81,78
2010,Portugal,82,77,81,79
2010,Germany,82,81,79,79
2010,Russia,80,79,77,76
2010,Netherlands,80,81,80,76
2010,Uruguay,78,76,70,74
2010,Turkey,78,77,77,74
2010,Croatia,78,77,74,73
2010,Czech Republic,78,73,74,74
2010,Mexico,77,73,74,74
2010,Sweden,77,78,73,74
2010,Cameroon,76,73,73,74
2010,Ukraine,76,73,72,70
2010,Switzerland,76,74,74,73
2010,Greece,76,76,75,74
2010,Belgium,76,73,75,74
2010,Paraguay,75,75,70,73
2010,Australia,75,71,71,68
2010,Scotland,75,73,73,72
2010,Norway,75,75,73,72
2010,Republic of Ireland,75,72,74,73
2010,Romania,75,71,70,74
2010,Denmark,75,72,72,74
2010,United States,74,72,71,70
2010,Austria,73,71,67,70
2010,Bulgaria,73,70,70,68
2010,Finland,72,67,69,70
2010,Ecuador,72,67,69,65
2010,South Africa,72,70,71,67
2010,Poland,72,69,68,67
2010,Hungary,72,69,72,66
2010,Northern Ireland,71,66,66,70
2010,Slovenia,70,70,67,67
2010,Korea Republic,70,67,69,65
2010,China PR,66,63,64,64
2010,New Zealand,62,60,57,58
2012,Spain,87,84,86,83
2012,Germany,84,82,84,80
2012,Italy,83,83,82,80
2012,England,83,82,83,81
2012,Brazil,83,83,81,83
2012,France,83,81,81,82
2012,Portugal,82,80,80,79
2012,Netherlands,82,81,81,75
2012,Argentina,82,86,79,77
2012,Russia,79,77,78,76
2012,Belgium,79,76,77,78
2012,Uruguay,79,81,74,77
2012,Croatia,78,78,78,74
2012,Côte d'Ivoire,78,80,75,73
2012,Colombia,77,77,74,72
2012,Republic of Ireland,77,75,74,72
2012,Turkey,77,74,78,73
2012,Sweden,77,75,77,73
2012,Poland,76,74,74,72
2012,Switzerland,76,71,74,74
2012,Chile,76,76,74,70
2012,Mexico,76,76,73,74
2012,Denmark,76,73,73,73
2012,Cameroon,76,74,73,75
2012,United States,75,70,74,72
2012,Greece,75,73,73,75
2012,Austria,74,75,71,72
2012,Peru,74,69,71,66
2012,Norway,74,73,73,73
2012,Scotland,74,73,73,73
2012,Slovenia,74,72,72,68
2012,Ecuador,73,72,73,67
2012,Romania,73,74,69,69
2012,Hungary,72,68,70,67
2012,Australia,72,70,69,68
2012,Bulgaria,71,69,68,67
2012,South Africa,71,70,71,67
2012,Northern Ireland,71,65,69,70
2012,Finland,71,68,70,67
2012,Korea Republic,71,72,70,68
2012,Egypt,69,66,67,67
2012,New Zealand,67,67,62,62
2009,Italy,85,84,83,81
2009,Spain,85,82,83,81
2009,England,84,80,82,81
2009,Argentina,84,81,81,80
2009,Brazil,84,81,81,80
2009,Germany,83,82,79,79
2009,France,83,82,82,81
2009,Netherlands,82,80,77,76
2009,Portugal,82,77,81,79
2009,Turkey,78,78,76,73
2009,Mexico,78,75,77,76
2009,Croatia,78,76,75,72
2009,Russia,78,75,75,71
2009,Switzerland,77,74,71,75
2009,Sweden,77,78,73,72
2009,Denmark,77,73,73,72
2009,Czech Republic,77,74,72,76
2009,Romania,76,73,71,72
2009,Scotland,76,72,74,71
2009,Greece,76,75,76,75
2009,Uruguay,76,74,72,73
2009,Cameroon,75,72,73,67
2009,Paraguay,75,77,70,72
2009,Republic of Ireland,75,71,72,72
2009,Australia,74,72,70,67
2009,Bulgaria,74,72,71,67
2009,Ukraine,74,71,69,67
2009,Poland,74,67,69,65
2009,Norway,74,74,72,71
2009,Austria,73,71,69,71
2009,Belgium,73,72,72,73
2009,United States,73,73,69,70
2009,South Africa,72,70,68,66
2009,Finland,71,66,66,69
2009,Hungary,71,62,70,67
2009,Ecuador,70,67,67,64
2009,Korea Republic,70,69,67,66
2009,Slovenia,70,70,67,66
2009,Northern Ireland,69,66,66,67
2009,China PR,65,61,62,62
2009,New Zealand,60,59,54,56
2013,Spain,86,84,86,83
2013,Germany,84,85,84,82
